experiment_type,experiment_run,step_num,best_model_folder,config_model_type,config_qwen3_model_name,config_max_length,config_embedding_batch_size,config_freeze_qwen3,config_embedding_dim,config_embedding_pooling,config_f1_threshold,config_freeze_strategy,config_lora_rank,config_lora_alpha,config_has_lora,best_accuracy,best_precision,best_recall,best_f1,best_accuracy_trs,best_precision_trs,best_recall_trs,best_f1_trs,roc_auc_test,train_roc_auc,step,epoch
doid_try,20250711_191806_DOID_ep10_lr1e-04_bs32_eval100_seed42_freeze_lora_r8_a16,1600,best_model_step_1600_auc_0.9646,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.43,lora,8,16,True,0.9859765625,0.9170506912442397,0.9607476635514018,0.6155414012738853,0.5700000000000001,0.93,0.01,0.46,0.9645961467254679,0.9901926698775567,1600,6
doid_try,20250712_160811_DOID_ep10_lr1e-04_bs32_eval100_seed42_freeze_lora_r8_a16,1600,best_model_step_1600_auc_0.9649,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.47000000000000003,lora,8,16,True,0.987001953125,0.9045801526717557,0.9709864603481625,0.6289508632138114,0.6,0.93,0.01,0.48000000000000004,0.9649080080101118,0.9908167366949184,1600,6
doid_try,20250715_210356_DOID_ep50_lr1e-05_bs32_eval50_seed42_freeze_lora_r8_a16,8950,best_model_step_8950_auc_0.9638,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.4,lora,8,16,True,0.987177734375,0.8995433789954338,0.9723970944309928,0.6395101171458999,0.51,0.89,0.01,0.43,0.9638018119298996,0.9919121063643362,8950,34
doid_try,20250715_222624_DOID_ep100_lr1e-05_bs32_eval50_seed42_freeze_lora_r8_a16,19350,best_model_step_19350_auc_0.9679,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.42000000000000004,lora,8,16,True,0.986826171875,0.8863636363636364,0.9619047619047619,0.6200417536534447,0.61,0.91,0.01,0.46,0.9678613996278478,0.9926661970658983,19350,75
foodon_try,20250713_164907_FoodOn_ep1_lr1e-05_bs32_eval100_seed42_freeze_lora_r8_a16,700,best_model_step_700_auc_0.9473,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.17,lora,8,16,True,0.9839068540592784,1.0,0.9984714154692754,0.3770620581304006,0.36000000000000004,0.65,0.01,0.18000000000000002,0.9472603104744272,0.9473305746045046,700,0
foodon_try,20250715_163211_FoodOn_ep15_lr1e-05_bs32_eval50_seed42_freeze_lora_r8_a16,11100,best_model_step_11100_auc_0.9856,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.45,lora,8,16,True,0.9897158907860825,0.9432624113475178,0.9950950337216432,0.665407617248977,0.5700000000000001,0.93,0.01,0.48000000000000004,0.9855737987991947,0.9876357886904761,11100,14
foodon_try,20250715_190041_FoodOn_ep5_lr1e-05_bs32_eval50_seed42_freeze_lora_r8_a16,3350,best_model_step_3350_auc_0.9796,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.33,lora,8,16,True,0.9878835776417526,0.9333333333333333,0.9945071711931645,0.590188231806729,0.47000000000000003,0.93,0.01,0.35000000000000003,0.9795832542556193,0.981423498484687,3350,4
foodon_try,20250715_210801_FoodOn_ep50_lr1e-05_bs32_eval100_seed42_freeze_lora_r8_a16,28700,best_model_step_28700_auc_0.9892,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.61,lora,8,16,True,0.9914475273840206,0.9282655246252677,0.9917228694052729,0.721489526764934,0.64,0.9400000000000001,0.01,0.56,0.9892165601373486,0.9938175435648573,28700,36
matonto_try,20250715_094504_MatOnto_ep1_lr1e-05_bs32_eval100_seed42_freeze_lora_r8_a16,100,best_model_step_100_auc_0.7551,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,,lora,8,16,True,0.909541015625,1.0,1.0,0.6044776119402985,0.05,0.11,0.01,0.04,0.7550745423833831,0.8549235693960626,100,0
matonto_try,20250715_122948_MatOnto_ep2_lr1e-05_bs32_eval50_seed42_freeze_lora_r8_a16,200,best_model_step_200_auc_0.8099,qwen3_cross_attention_meta_model,Qwen/Qwen3-Embedding-0.6B,512,32,True,1024,last_token_norm,0.05,lora,8,16,True,0.914755859375,1.0,1.0,0.5871619118191923,0.060000000000000005,0.12,0.01,0.05,0.8098998182199125,0.8987579401428478,200,1
